id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,A1
203,7,4,3,7,2,5,2,0,1,2,6
204,2,5,2,6,3,7,4,0,3,5,6
205,4,7,5,5,5,4,4,1,6,5,6
206,4,6,4,5,7,3,4,8,2,1,6
207,2,,,1,,,,,5,,
208,4,6,2,6,2,5,2,-1,5,2,7
209,2,6,3,2,7,3,5,1,6,1,2
210,3,7,3,3,3,5,3,9,2,6,6
211,6,2,4,1,3,3,4,7,1,2,2
212,5,7,2,6,6,4,7,9,6,2,1
213,7,5,4,7,3,3,6,8,6,2,2
214,4,2,4,7,6,3,3,9,5,7,1
215,7,7,5,4,5,6,4,9,5,6,2
216,5,5,2,6,3,3,3,-1,5,7,6
217,4,1,3,2,2,7,4,-1,5,1,6
218,4,6,6,7,4,2,2,7,2,6,1
219,6,5,3,2,3,2,5,7,3,5,1
220,6,7,2,6,5,2,4,9,5,1,1
221,4,2,3,4,4,4,6,1,3,7,2
222,2,5,2,5,3,3,3,-1,1,1,5
223,5,6,6,3,4,5,7,7,5,7,2
224,1,4,2,6,1,6,4,8,2,7,3
225,5,7,6,1,3,4,6,7,2,2,2
226,2,6,5,6,5,6,5,1,1,2,2
227,3,2,2,5,6,5,2,9,3,6,7
228,5,5,2,6,3,5,4,0,1,7,3
229,2,5,2,4,6,7,2,-2,1,5,3
230,7,7,7,7,5,7,6,0,6,5,4
231,2,5,3,7,3,3,4,-2,2,6,5
232,7,1,2,,7,7,6,0,,5,2
233,2,7,3,6,4,3,7,8,2,7,5
234,2,5,1,1,3,3,6,8,2,6,5
235,2,7,2,6,5,5,4,0,1,7,4
236,4,6,2,6,3,5,3,1,6,7,5
237,4,5,2,3,3,4,4,9,6,6,3
238,2,2,3,7,4,4,6,9,5,2,1
239,1,5,2,4,2,4,7,-2,5,6,6
240,1,7,2,6,3,2,5,8,6,2,5
241,5,7,7,2,6,7,4,1,2,2,4
242,5,5,4,3,5,4,6,-2,5,2,6
243,4,5,6,1,3,3,3,-1,5,1,1
244,1,4,2,6,4,7,6,9,3,1,5
245,6,7,3,1,5,4,6,7,3,6,2
246,1,5,1,7,3,5,2,1,3,6,6
247,2,1,2,6,1,4,7,-2,2,6,3
248,3,4,2,6,4,4,4,1,2,1,7
249,5,,,1,,,,,3,,
250,7,7,3,6,5,4,5,-1,2,6,1
251,4,6,7,4,5,3,3,-1,6,2,7
252,4,5,2,6,3,3,7,-1,1,5,2
253,4,1,5,1,5,2,3,8,3,5,1
254,2,,,2,,,,,5,,
255,2,7,4,5,3,3,3,9,2,2,5
256,6,2,2,,4,4,6,-2,,5,1
257,2,,,4,,,,,3,,
258,4,5,2,1,3,3,7,-2,2,2,3
259,4,7,3,7,2,6,7,1,6,5,6
260,1,7,2,6,5,2,3,7,6,7,5
261,5,5,5,1,3,5,5,8,2,2,5
262,5,3,1,2,6,3,7,8,1,5,6
263,2,2,2,3,6,2,5,-1,2,2,7
264,5,5,2,6,3,3,7,7,1,1,3
265,7,7,3,4,5,3,2,9,1,6,4
266,5,4,3,7,3,3,3,0,6,1,5
267,5,5,1,5,3,2,5,8,5,7,4
268,5,3,2,6,6,5,4,1,1,2,6
269,2,2,3,6,5,4,6,8,1,2,6
270,2,7,5,1,3,6,5,7,2,7,5
271,5,7,6,4,2,2,3,-2,3,5,3
272,3,5,2,6,2,5,2,7,2,2,4
273,2,5,3,3,3,6,4,-1,6,1,6
274,3,3,6,3,2,6,7,7,2,6,2
275,5,7,2,6,5,6,6,9,5,2,1
276,7,5,2,6,3,2,5,-2,3,2,6
277,2,2,6,3,2,2,3,1,1,6,2
278,5,6,3,1,4,3,7,-1,1,2,3
279,3,5,5,1,3,2,3,1,2,6,4
280,3,7,2,6,5,6,6,1,5,6,2
281,5,7,1,5,2,5,5,8,5,5,3
282,2,5,5,5,3,3,4,1,6,7,7
283,7,2,2,4,7,7,6,0,2,2,6
284,5,1,2,6,3,5,5,-2,2,6,6
285,2,7,2,7,3,4,4,-2,1,2,4
286,5,3,5,3,5,4,7,7,3,2,2
287,6,1,3,1,6,3,3,9,2,7,3
288,7,5,2,6,3,3,5,7,6,6,3
289,4,5,4,6,6,2,4,0,3,5,7
290,7,7,1,3,5,2,5,9,2,1,2
291,6,5,4,1,3,3,7,8,2,5,6
292,4,4,2,6,5,3,6,9,6,1,4
293,5,3,2,6,1,4,5,-1,6,7,5
294,3,5,3,3,3,4,4,7,3,1,7
295,2,7,2,6,5,3,4,8,3,2,3
296,4,3,2,6,6,6,7,1,1,6,6
297,1,5,7,1,3,2,7,1,2,7,6
298,1,2,7,3,3,5,4,-1,5,7,2
299,1,7,5,1,1,5,7,7,6,7,7
300,1,7,2,6,3,4,5,0,5,6,7
301,3,4,3,7,6,6,5,-2,2,7,7
302,7,1,6,6,5,2,3,-1,1,2,3
303,5,5,7,7,3,3,5,1,6,7,3
304,2,1,2,6,7,4,7,-1,2,7,2
305,6,7,7,1,5,6,6,-2,5,2,1
306,3,5,6,1,3,5,3,-2,3,6,7
307,4,1,3,6,7,7,7,7,5,1,1
308,2,5,2,6,4,6,4,7,2,2,5
309,3,5,1,3,3,5,6,8,6,5,2
310,7,7,7,2,5,2,4,1,3,2,4
311,5,5,7,6,4,6,2,-2,1,7,5
312,1,5,2,6,3,3,5,8,6,1,1
313,5,3,4,2,6,7,5,8,5,5,2
314,2,4,5,4,3,6,4,8,5,6,5
315,5,7,3,1,3,3,3,1,5,1,3
316,7,1,2,6,2,5,4,8,6,1,3
317,6,5,6,4,3,3,4,9,6,2,7
318,2,5,2,6,3,7,7,0,2,1,1
319,5,6,1,2,7,3,4,0,6,1,1
320,4,7,2,6,5,5,4,1,1,7,7
321,1,5,6,4,3,6,3,-1,5,2,1
322,3,4,3,1,5,3,7,1,2,5,2
323,2,,,,,,,,,,
324,5,5,2,6,3,2,6,8,3,1,3
325,7,7,2,6,5,2,6,0,6,1,3
326,4,,,1,,,,,6,,
327,2,5,4,2,3,6,2,-2,2,1,1
328,5,6,2,6,4,2,7,-1,2,1,3
329,7,5,3,6,2,7,6,7,5,6,6
330,1,7,5,2,3,3,4,7,6,2,4
331,2,4,6,6,7,3,6,0,1,7,7
332,2,5,2,6,6,7,5,0,1,5,7
333,7,5,3,,3,3,2,8,,6,6
334,5,2,2,3,7,3,2,7,3,7,2
335,1,7,5,5,5,7,7,-2,1,5,6
336,2,5,2,6,3,4,5,7,6,1,7
337,3,5,1,7,3,7,3,-1,5,2,5
338,7,4,1,2,7,7,7,0,5,2,5
339,1,5,5,1,3,4,3,-1,5,2,6
340,6,7,2,,5,5,2,1,,7,2
341,5,3,3,2,4,2,2,0,1,5,5
342,2,5,3,1,3,5,4,7,5,7,5
343,7,6,3,6,7,2,7,8,5,6,7
344,5,2,2,6,4,7,4,7,5,7,1
345,1,7,5,3,3,6,7,1,2,7,4
346,7,1,3,3,5,3,4,0,1,1,7
347,5,2,1,4,6,6,4,9,5,7,3
348,1,5,2,6,3,7,3,-2,5,1,5
349,6,7,5,3,3,6,4,8,6,1,6
350,4,7,3,7,5,3,5,9,6,7,2
351,5,5,5,1,3,6,7,0,6,5,4
352,7,2,2,6,2,5,2,-1,1,2,1
353,4,7,6,2,5,5,6,-1,3,5,2
354,1,5,6,4,3,3,6,9,5,1,1
355,1,7,3,3,5,6,4,1,2,5,3
356,7,1,2,6,7,2,4,-1,1,7,4
357,5,5,3,6,3,4,4,1,2,2,1
358,2,2,2,3,1,3,5,7,2,1,6
359,3,6,4,7,5,2,6,0,1,6,1
360,4,7,2,6,3,3,5,0,2,5,5
361,6,6,3,7,2,3,4,-2,6,5,2
362,4,5,4,5,7,4,4,0,2,1,1
363,3,5,5,3,3,7,6,8,1,5,1
364,4,1,2,6,7,2,7,7,3,6,4
365,5,7,3,3,5,5,4,-2,5,1,3
366,3,5,4,5,3,4,4,-1,5,1,7
367,7,4,7,4,2,5,4,7,6,6,5
368,3,6,2,6,3,3,3,9,1,7,1
369,7,5,3,1,3,3,5,-2,1,6,4
370,3,7,2,5,5,3,5,7,5,2,5
371,6,3,3,5,6,4,7,-1,2,6,4
372,7,5,2,6,3,2,5,0,2,1,5
373,7,4,4,3,6,3,4,7,6,5,2
374,1,2,7,1,4,7,6,8,2,5,3
375,4,7,1,4,3,5,4,8,2,6,4
376,5,6,2,6,1,2,7,0,2,1,1
377,3,5,1,5,5,7,6,-2,2,2,7
378,5,5,3,1,3,7,5,8,6,7,2
379,3,5,1,6,5,5,2,-1,6,5,1
380,3,7,2,6,5,2,6,7,2,2,7
381,1,5,5,,3,7,4,0,,1,1
382,2,7,4,,5,3,3,-2,,5,5
383,2,3,4,6,7,5,2,7,1,7,3
384,1,5,2,6,3,5,2,-2,3,2,7
385,3,7,3,5,5,4,4,8,3,6,2
386,6,5,4,2,1,2,2,1,3,5,1
387,4,5,7,1,3,3,6,-2,1,5,5
388,1,4,2,6,1,3,4,7,6,1,2
389,2,5,4,1,1,7,2,9,5,7,1
390,7,7,7,5,3,2,7,-2,5,1,6
391,5,6,2,2,1,2,7,-2,3,5,1
392,7,1,2,6,6,5,2,9,1,5,7
393,5,5,3,1,3,7,4,1,2,1,4
394,5,,,6,,,,,6,,
395,3,7,2,2,5,7,5,-1,2,1,4
396,2,5,2,6,3,3,5,0,6,7,4
397,1,3,3,7,7,7,7,1,5,6,4
398,6,5,7,2,3,4,7,9,2,1,3
399,7,5,3,1,3,5,3,9,5,7,3
400,6,7,2,6,5,4,4,0,2,1,3
401,3,7,4,5,1,6,3,8,2,1,7
402,6,5,4,1,3,6,5,8,5,7,7
403,1,1,1,2,2,2,4,-1,2,7,4
404,3,5,2,6,7,3,3,-2,5,5,5
405,3,7,2,1,3,5,3,-1,6,1,6
406,1,2,3,7,3,6,6,8,1,1,2
407,1,6,2,4,3,3,4,-1,3,7,6
408,5,5,2,6,3,5,7,1,5,2,5
409,3,2,3,7,1,5,5,9,1,2,7
410,2,7,4,7,5,4,2,-2,3,5,3
411,7,5,2,3,3,2,5,1,6,2,5
412,5,1,2,6,7,3,4,1,6,6,1
413,2,1,3,7,6,3,7,-2,3,5,6
414,1,5,6,1,3,2,2,9,2,6,5
415,5,7,7,,5,6,4,8,,1,7
416,6,7,2,6,7,5,3,-1,5,2,5
417,6,5,4,,3,6,3,0,,6,2
418,6,4,5,1,7,3,4,8,1,5,5
419,1,4,3,6,2,4,7,-1,5,1,4
420,5,7,2,6,3,6,5,1,1,6,7
421,3,4,6,3,3,6,2,0,5,5,7
422,7,3,2,2,3,4,5,7,1,1,2
423,2,5,4,1,3,2,7,9,2,7,1
424,6,3,2,,5,3,3,1,,1,1
425,3,7,5,3,5,7,6,1,1,1,2
426,5,5,2,4,3,6,5,1,3,2,6
427,1,4,3,5,6,5,6,-2,5,6,5
428,1,2,2,6,2,3,4,8,2,7,7
429,3,5,3,4,3,5,5,0,5,1,4
430,2,7,2,3,5,5,6,7,3,6,3
431,1,2,5,3,5,6,2,9,2,7,3
432,3,5,2,6,3,7,4,9,3,2,6
433,3,2,6,5,2,3,6,0,5,1,3
434,2,7,3,1,1,2,4,7,2,1,7
435,6,7,7,1,3,7,2,0,3,2,3
436,5,4,2,6,6,5,4,7,5,2,6
437,4,7,6,3,2,3,5,-2,2,5,4
438,3,5,1,1,3,5,3,-1,3,2,4
439,1,5,6,3,4,3,7,7,5,6,4
440,4,7,2,6,5,3,4,8,5,5,1
441,5,5,3,1,3,7,7,8,3,1,1
442,5,7,7,5,2,2,5,0,3,1,1
443,1,1,6,7,6,4,3,9,1,1,3
444,5,5,2,6,3,3,7,1,3,2,6
445,3,7,3,7,5,2,6,-2,2,6,5
446,5,3,1,3,4,6,6,1,5,2,2
447,1,5,5,4,3,6,4,0,2,1,7
448,4,3,2,6,2,3,6,-2,1,1,4
449,6,6,2,5,4,4,4,0,6,7,5
450,3,7,3,1,3,6,5,7,6,7,4
451,3,3,2,7,1,3,5,0,3,7,2
452,6,4,2,6,3,3,4,-2,3,5,5
453,5,5,2,4,3,3,2,-2,3,2,3
454,5,7,2,2,3,3,3,0,6,6,7
455,7,7,3,7,5,3,5,0,2,1,6
456,1,5,2,6,3,3,3,7,3,5,7
457,5,5,6,2,4,3,5,-2,1,1,5
458,2,4,3,6,3,6,4,7,1,2,5
459,1,5,4,1,3,2,6,7,2,7,2
460,1,7,2,6,5,6,7,-2,2,7,7
461,4,6,4,7,1,4,4,1,6,6,1
462,5,5,3,2,3,7,7,-1,1,7,7
463,7,6,7,3,2,3,7,8,1,2,4
464,2,4,2,6,7,3,7,-1,6,2,3
465,7,7,4,1,3,4,5,0,3,2,2
466,6,7,7,4,6,5,4,9,6,5,4
467,6,7,7,,5,5,4,0,,7,1
468,2,,,6,,,,,3,,
469,7,1,3,2,7,5,4,-1,5,5,7
470,7,7,4,4,5,7,5,9,5,5,7
471,7,5,1,5,3,4,6,7,2,2,7
472,6,3,2,6,5,5,3,-1,5,1,3
473,2,,,6,,,,,1,,
474,1,5,3,1,3,2,2,7,5,6,5
475,7,7,7,5,5,6,4,1,3,7,5
476,4,6,2,6,3,5,2,-1,2,7,5
477,6,5,3,1,3,4,2,7,6,1,6
478,1,4,4,7,5,4,2,-1,3,2,6
479,3,7,7,6,7,3,4,0,3,7,3
480,4,7,2,6,3,4,7,8,5,5,1
481,3,3,5,6,5,3,3,1,5,6,7
482,5,5,4,7,6,5,2,1,1,6,5
483,3,5,3,7,3,3,2,9,1,6,3
484,5,1,2,6,4,3,2,0,5,6,5
485,5,7,3,4,5,6,4,8,2,7,4
486,4,5,5,1,3,4,2,8,6,5,2
487,2,3,5,1,1,3,4,1,3,6,7
488,2,4,2,6,5,3,5,1,6,1,7
489,7,5,1,5,3,3,3,1,3,6,1
490,2,7,3,5,5,7,6,1,2,2,1
491,5,5,7,5,6,4,5,-2,1,7,6
492,2,5,2,6,3,7,5,-2,5,7,7
493,5,1,4,1,4,3,2,-2,3,2,3
494,5,6,2,1,1,3,5,8,1,6,5
495,6,7,3,1,3,4,2,8,5,7,2
496,4,3,2,6,2,3,5,1,5,2,1
497,2,1,3,5,1,5,4,7,1,1,7
498,7,5,7,7,3,4,4,1,2,1,6
499,3,6,5,5,7,3,3,9,5,7,4
500,1,7,2,6,5,6,2,0,2,7,6
501,3,5,5,1,3,6,7,-2,6,7,3
502,2,4,7,5,2,5,7,7,1,6,4
503,1,2,2,5,6,3,2,7,3,2,2
504,6,5,2,6,3,5,6,0,3,6,2
505,2,7,4,2,5,3,4,-1,3,1,4
506,7,1,6,5,5,2,3,7,1,2,1
507,7,,,1,,,,,2,,
508,6,2,2,6,3,7,4,7,1,6,5
509,2,3,4,5,1,3,5,1,6,2,1
510,5,7,4,3,3,7,3,7,6,2,1
511,5,7,3,6,1,4,7,-2,1,6,1
512,6,2,2,6,7,7,3,1,5,5,4
513,4,5,5,1,3,2,4,0,1,2,3
514,1,3,5,4,2,3,4,7,1,6,5
515,4,7,4,4,5,7,5,9,2,7,2
516,7,5,2,6,3,6,3,9,3,7,7
517,4,7,4,4,2,6,2,9,5,7,5
518,1,2,3,3,1,3,6,1,5,6,1
519,6,5,2,1,3,2,7,-1,3,7,7
520,7,7,2,6,5,5,3,9,1,2,7
521,4,4,3,1,5,3,5,-1,5,7,7
522,6,5,6,1,3,4,3,-2,6,2,1
523,6,1,5,,1,2,4,1,,7,7
524,6,3,2,6,3,3,2,-2,3,5,5
525,5,7,3,2,3,4,5,1,1,2,7
526,6,5,3,3,2,5,2,0,1,1,1
527,2,4,6,7,4,6,2,-1,3,6,2
528,4,5,2,6,3,4,6,8,6,7,4
529,6,2,5,1,7,4,7,7,3,6,3
530,6,7,3,6,5,3,5,9,5,2,7
531,3,5,7,1,3,6,4,-2,1,6,3
532,5,2,2,6,7,4,2,-1,1,1,4
533,1,5,4,2,5,5,2,0,1,6,4
534,5,5,7,6,3,4,7,1,1,7,2
535,4,7,4,3,5,3,7,7,2,5,5
536,6,4,2,6,2,3,4,9,1,1,7
537,7,5,7,5,3,2,2,1,3,5,4
538,7,1,5,1,1,6,4,1,2,5,3
539,3,2,3,5,3,4,5,-2,3,1,7
540,4,7,2,6,3,5,3,-2,6,6,7
541,1,6,4,,1,5,6,7,,1,7
542,2,6,2,4,5,5,6,8,1,7,6
543,2,5,6,3,3,4,6,8,1,5,5
544,3,3,2,6,5,2,4,1,6,6,4
545,4,7,3,6,5,2,4,8,6,2,5
546,4,5,3,7,3,3,6,7,6,1,7
547,2,3,3,5,3,2,4,-1,6,6,7
548,4,7,2,6,1,2,3,-2,5,6,6
549,7,,,1,,,,,6,,
550,6,7,7,2,5,5,6,-2,3,7,6
551,7,1,5,2,6,5,3,1,6,2,3
552,6,5,2,6,3,5,7,-2,5,7,6
553,2,5,3,2,4,3,7,1,3,6,3
554,6,,,6,,,,,5,,
555,1,7,1,2,3,3,5,8,6,1,5
556,5,5,2,6,6,2,4,-1,2,6,1
557,2,3,7,3,5,2,4,7,5,5,2
558,2,5,4,1,3,2,4,-2,6,6,3
559,5,3,4,1,5,3,4,0,5,1,2
560,1,7,2,6,5,6,2,0,5,7,5
561,3,5,4,4,3,3,3,7,3,7,4
562,5,4,1,6,1,2,4,0,2,6,4
563,4,6,4,4,6,5,2,8,1,7,3
564,2,5,2,6,3,3,4,8,3,1,7
565,2,7,7,7,5,5,4,1,3,6,5
566,7,1,1,1,2,7,4,0,1,2,2
567,5,5,3,1,3,4,5,1,2,6,6
568,2,1,2,6,5,7,6,-2,3,7,3
569,6,3,5,4,1,6,4,-2,3,2,3
570,4,7,5,2,3,2,5,8,3,2,1
571,7,6,4,2,7,6,6,0,3,6,6
572,1,4,2,6,4,5,4,-1,3,5,4
573,1,5,2,7,3,5,5,7,5,2,5
574,6,4,3,7,3,7,5,7,5,1,2
575,1,7,4,4,5,2,6,7,5,6,7
576,2,5,2,6,3,2,6,-1,3,1,5
577,2,4,2,6,7,3,7,8,6,7,2
578,3,6,3,,5,4,3,7,,5,1
579,5,5,7,2,3,6,6,9,1,6,5
580,1,,,6,,,,,1,,
